gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.8,0.5,200,0.0020943951023932,0.8,0.8,0.8,0,0,0,1,1,1,0.999998942018104,0.000186925589483241,1,8.50262491616167
0.8,0.5,400,0.00418879020478639,0.8,0.8,0.8,0,0,0,1,1,1,0.999995848454981,0.000349048610857614,1,4.373845897247
0.8,0.5,600,0.00628318530717959,0.8,0.8,0.8,0,0,0,1,1,1,0.999990707387361,0.000454751736243408,1,3.26926085613245
0.8,0.5,800,0.00837758040957278,0.8,0.8,0.8,0,0,0,1,1,1,0.999983936536199,0.000637605145111551,1,1.99940491882681
0.8,0.5,1000,0.010471975511966,0.8,0.8,0.8,0,0,0,1,1,1,0.999975304989008,0.000782192934346698,1,1.31569630703938
0.8,0.7,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,8.49837472194074e-17,1,7538168888405.23
0.8,0.7,200,0.00293215314335047,0.8,0.8,0.8,0,0,0,1,1,1,0.999997947319487,0.000264722893299134,1,5.88852317056297
0.8,0.7,400,0.00586430628670095,0.8,0.8,0.8,0,0,0,1,1,1,0.99999189831925,0.000434645229342649,1,3.43561736464949
0.8,0.7,600,0.00879645943005142,0.8,0.8,0.8,0,0,0,1,1,1,0.999982381317287,0.000666460646623174,1,1.83704763243808
0.8,0.7,800,0.0117286125734019,0.8,0.8,0.8,0,0,0,1,1,1,0.999969060130422,0.000870429318417511,1,1.01222885787573
0.8,0.7,1000,0.0146607657167524,0.8,0.8,0.8,0,0,0,1,1,1,0.99995168153288,0.00104462882366316,1,0.577591473156038
0.8,1,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,5.14602144722741e-17,1,7538168888404.94
0.8,1,200,0.00418879020478639,0.8,0.8,0.8,0,0,0,1,1,1,0.999995848210331,0.000349052984737668,1,4.37374393316721
0.8,1,400,0.00837758040957278,0.8,0.8,0.8,0,0,0,1,1,1,0.99998393503643,0.00063787574725346,1,1.99793199534499
0.8,1,600,0.0125663706143592,0.8,0.8,0.8,0,0,0,1,1,1,0.99996446035669,0.000930817944460855,1,0.840844855854793
0.8,1,800,0.0167551608191456,0.8,0.8,0.8,0,0,0,1,1,1,0.999937356806225,0.00117103965170817,1,0.351934468073599
0.8,1,1000,0.020943951023932,0.8,0.8,0.8,0,0,0,1,1,1,0.999902745567534,0.00140321672306252,1,0.0560123549926854
1,0,0,0,1,1,1,0,0,0,1,1,1,1,1.86835436258807e-17,1,5955701574872.48
